id,response rate,accuracy
1,94.79%,54.94%
13,95.83%,19.56%
15,91.66%,81.81%
16,100.0%,28.12%
19,96.87%,24.73%
2,96.87%,59.13%
20,93.75%,44.44%
21,98.95%,28.42%
28,98.61%,22.53%
29,98.95%,90.52%
3,96.87%,35.48%
35,87.5%,27.38%
36,90.62%,44.82%
37,91.66%,31.81%
38,91.66%,10.22%
4,96.87%,30.10%
40,93.75%,26.66%
41,92.70%,73.03%
42,97.91%,34.04%
43,94.79%,96.70%
44,97.22%,94.28%
45,97.22%,47.14%
46,98.61%,100.0%
47,100.0%,76.92%
48,92.45%,40.81%
49,98.11%,46.15%
5,98.95%,35.78%
50,20.0%,0.0%
51,92.45%,26.53%
52,90.56%,47.91%
53,96.22%,37.25%
54,84.90%,24.44%
55,96.22%,37.25%
56,54.71%,13.79%
6,90.62%,56.32%
7,94.79%,75.82%
